index,Business_names,Business_adresses,Latitude,Longitude,node_type
0,North_coffee,0x3760285dc8B4f49e0c0706c8cb9ec9238D9CDD7c,90,0,primaryProduction
1,South_coffee,0x1b1307640206E588beCC2CD8c08eb56467637653,-90,0,Storage
2,East_coffee,0xff8c43a37Bc98b6608e78170266567d60F13B840,0,90,Roaster
3,West_coffee,0x72f5fcf7522C7618620483900d57668459ad7E89,0,-90,Retailer
4,Adelaide_coffee,0x5f060D6a010C46e8236aD0763053A952429E33E9,34.9285,138.6007,primaryProduction
5,Sydney_coffee,0xdE3E4e54bAAC82FCA365b6d2031e9589275910f0,33.8688,151.2093,Storage
6,Brisbane_coffee,0x6deBFe43f204180Fb5717CBC4d3A356AEc67A827,27.4705,153.0260,Roaster
7,Melbourne_coffee,0x4EE2A59872aa4Ca44a18456ac3168853DB75ddBe,37.8136,144.9631,Retailer
8,Canberra_consumer,0x9996a05888CB14149469e6cBFbA6452BdF528228,35.2802,149.1310,Consumer
9,default_consumer,0x6a61D4248D6010D51526E57C30F204d375909d94,0,0,Consumer
